Product,Brand,Business Id,Product Line,Category,Commercial Name,Base NRC,Base Recurring,Final RC,Final NRC,Promo Allowance,Base Allowance,Allowance Type,Allowance Unit
FastFiber Evening Special,OrbitNet,OFR_735582,Mobile Offers,Offers,Business Pro - LTE,,9.99,,9.99,1.0,1.0,Data,GB
FiberQuick Evening Special,PulseWireless,001007,Mobile Offers,Offers,Unlimited Talk - 5G,9.99,,9.99,,,,,
SpeedWave Evening Special,SwiftLink,OFR_294528,Mobile Offers,Offers,Traveler's Pack - Fiber,,,,,,,,
PulseNet Traveler's Pack,OrbitNet,OFR_882743,Mobile Offers,Offers,Business Pro - 5G,,4.99,,4.99,150.0,150.0,Data,MB
UltraNet Data Saver,NetCore,001051,Mobile Offers,Offers,Unlimited Talk - LTE,,9.99,,9.99,5.0,5.0,Data,GB
PulseNet Data Saver,QuantumConnections,001050,Mobile Offers,Offers,Data Saver - LTE,,6.99,,6.99,3.0,3.0,Data,GB
SpeedWave Student Bundle,GlobalTel,001047,Mobile Offers,Offers,Unlimited Talk - 5G,,3.99,,3.99,1.0,1.0,Data,GB
SpeedWave Traveler's Pack,SkyNet,001040,Mobile Offers,Offers,Traveler's Pack - Fiber,,2.49,,2.49,300.0,300.0,Data,MB
FastFiber Business Pro,FiberTech,001612,Mobile Offers,Offers,Evening Special - 5G,,,,,,,,
UltraNet Traveler's Pack,NetCore,OFR_941503,Mobile Offers,Offers,Student Bundle - 5G,,6.99,,6.99,3.0,3.0,Data,GB
FastFiber Traveler's Pack,PulseWireless,OFR_576797,Mobile Offers,Offers,Family Plan - Fiber,,3.99,,3.99,1.0,1.0,Data,GB
NetSpan Family Plan,SkyNet,000753,Mobile Offers,Offers,Weekend Warrior - LTE,9.99,,9.99,,,,,
MegaNet Evening Special,QuantumConnections,001663,Mobile Offers,Offers,Unlimited Talk - 4G,,14.99,,14.99,10.0,10.0,Data,GB
UltraNet Data Saver,PulseWireless,001812,Mobile Offers,Offers,Global Roamer - 4G,,9.99,,9.99,5.0,5.0,Data,GB
FiberQuick Unlimited Talk,GlobalTel,001655,Mobile Offers,Offers,CityWide WiFi - 5G,,4.99,,4.99,2.0,2.0,Data,GB
NetSpan Unlimited Talk,QuantumConnections,000967,Mobile Offers,Offers,CityWide WiFi - LTE,,2.99,,2.99,500.0,500.0,Data,MB
FastFiber Unlimited Talk,PulseWireless,000907,Mobile Offers,Offers,Family Plan - LTE,,14.99,,14.99,10.0,10.0,Data,GB
FiberQuick Business Pro,OrbitNet,000908,Mobile Offers,Offers,Family Plan - Fiber,,9.99,,9.99,5.0,5.0,Data,GB
HyperLink Data Saver,FiberTech,000909,Mobile Offers,Offers,Family Plan - Fiber,,4.99,,4.99,2.0,2.0,Data,GB
NetSpan Family Plan,FiberTech,000788,Mobile Offers,Offers,Traveler's Pack - 5G,9.99,59.99,9.99,59.99,15.0,15.0,Data,GB
GlobalConnect Traveler's Pack,WaveCommunications,001667,Mobile Offers,Offers,Traveler's Pack - 5G,9.99,69.99,9.99,69.99,20.0,20.0,Data,GB
GlobalConnect Data Saver,OrbitNet,OFR_001197,Mobile Offers,Offers,CityWide WiFi - LTE,9.99,69.99,9.99,69.99,20.0,20.0,Data,GB
HyperLink Student Bundle,QuantumConnections,001088,Mobile Offers,Offers,Business Pro - Fiber,9.99,17.99,9.99,17.99,16.0,16.0,Data,GB
HyperLink Data Saver,GlobalTel,001653,Mobile Offers,Offers,Student Bundle - Fiber,9.99,18.99,9.99,18.99,30.0,30.0,Data,GB
HyperLink Unlimited Talk,GlobalTel,000809,Mobile Offers,Offers,Business Pro - LTE,9.99,19.99,9.99,19.99,20.0,20.0,Data,GB
SpeedWave CityWide WiFi,SwiftLink,001087,Mobile Offers,Offers,Unlimited Talk - 4G,9.99,12.99,9.99,12.99,8.0,8.0,Data,GB
QuantumSpeed Student Bundle,SkyNet,001809,Mobile Offers,Offers,Data Saver - Fiber,9.99,13.99,9.99,13.99,20.0,20.0,Data,GB
FiberQuick CityWide WiFi,SwiftLink,000793,Mobile Offers,Offers,Family Plan - 5G,9.99,14.99,9.99,14.99,12.0,12.0,Data,GB
MegaNet Global Roamer,QuantumConnections,001086,Mobile Offers,Offers,Weekend Warrior - 5G,9.99,7.99,9.99,7.99,4.0,4.0,Data,GB
FastFiber Weekend Warrior,OrbitNet,001649,Mobile Offers,Offers,Weekend Warrior - LTE,9.99,8.99,9.99,8.99,10.0,10.0,Data,GB
QuantumSpeed Data Saver,OrbitNet,000766,Mobile Offers,Offers,Data Saver - 5G,9.99,8.99,9.99,8.99,6.0,6.0,Data,GB
SpeedWave CityWide WiFi,WaveCommunications,000883,Mobile Offers,Offers,Student Bundle - LTE,7.0,4.0,7.0,4.0,1.0,1.0,Data,GB
NetSpan Business Pro,NetCore,000869,Mobile Offers,Offers,Global Roamer - 4G,10.0,6.66,5.0,6.66,5000.0,5000.0,Units,Units
SpeedWave Family Plan,FiberTech,001109,Mobile Offers,Offers,Global Roamer - LTE,9.77,6.88,9.77,6.88,7500.0,7500.0,Units,Units
MegaNet Business Pro,WaveCommunications,001173,Mobile Offers,Offers,Unlimited Talk - 4G,5.0,8.0,5.0,7.0,1.0,1.0,Data,GB
MegaNet Business Pro,SkyNet,001111,Mobile Offers,Offers,Traveler's Pack - Fiber,10.0,,10.0,,,,,
GlobalConnect CityWide WiFi,OrbitNet,001416,Mobile Offers,Offers,Data Saver - 4G,7.0,4.0,7.0,4.0,10.0,10.0,Data,GB
UltraNet Business Pro,PulseWireless,001460,Mobile Offers,Offers,Student Bundle - 5G,10.0,4.0,10.0,4.0,10.0,10.0,Data,GB
HyperLink Traveler's Pack,SkyNet,001211,Mobile Offers,Offers,Traveler's Pack - 5G,9.77,6.88,9.77,6.88,7500.0,7500.0,Units,Units
FiberQuick Family Plan,GlobalTel,001778,Mobile Offers,Offers,Business Pro - 5G,5.0,9.99,5.0,9.99,,,,
PulseNet Business Pro,FiberTech,001208,Mobile Offers,Offers,Weekend Warrior - Fiber,10.0,,10.0,,,,,
FastFiber Business Pro,QuantumConnections,001736,Mobile Offers,Offers,Traveler's Pack - LTE,,,,,,,,
HyperLink Student Bundle,WaveCommunications,000282,Mobile Offers,Offers,Traveler's Pack - Fiber,,5.0,,5.0,1000.0,1000.0,Units,Units
GlobalConnect Business Pro,PulseWireless,000278,Mobile Offers,Offers,Global Roamer - LTE,10.0,10.0,10.0,10.0,4000.0,4000.0,Units,Units
PulseNet Traveler's Pack,NetCore,000268,Mobile Offers,Offers,Family Plan - Fiber,,,,,9.0,9.0,,Cent
